STOPID,PREVSTOPID,TIMESTAMP,T_HOUR,TIMETAKEN
27566,70362,1449890510150,8,33
377,1609,1449890510114,8,30056
2043,2045,1449890520170,8,25000
BP3460,FC41,1449890510128,8,35051
BP3460,FC41,1449890510146,8,35043
330,24180,1449890530180,8,20000
R0330,945,1449890515190,8,35000
10893,27566,1449890510183,8,40009
377,1609,1449890515179,8,39999
1157,2018,1449890515195,8,39999
2626,793,1449890515196,8,39999
1156,BP3442,1449890510160,8,50013
2043,2045,1449890525179,8,35000
1578,4896,1449890515184,8,45000
80011,330,1449890540192,8,20000
4896,1578,1449890510132,8,55049
1114,783,1449890510179,8,55010
BP833,606,1449890510151,8,55042
BP5486,14456,1449890510111,8,60058
29844,BP5486,1449890570169,8,0
80011,330,1449890515171,8,55000
BP3912,377,1449890525177,8,45000
29844,BP5485,1449890510126,8,60053
943,R0330,1449890550190,8,20000
1114,783,1449890510138,8,65046
330,24180,1449890510139,8,65046
4946,10875,1449890510178,8,65011
7964,7962,1449890540193,8,35001
BP3203,2269,1449890510156,8,70013
1283,80011,1449890570171,8,10000
792,2627,1449890530173,8,50001
2070,2068,1449890525185,8,55000
BP3536,7824,1449890515186,8,65000
BP5172,BP5283,1449890550187,8,30000
R0085,BP5172,1449890580187,8,0
2637,2633,1449890535188,8,45000
80011,330,1449890575185,8,9999
20668,14245,1449890510142,8,75044
2648,783,1449890510166,8,80012
34182,1280,1449890525178,8,65000
80011,330,1449890550180,8,40000
1283,80011,1449890560192,8,30000
10889,10893,1449890550192,8,40001
1472,8419,1449890510118,8,85055
BP5485,14682,1449890510162,8,90012
790,4716,1449890510171,8,90011
8571,1156,1449890560173,8,45000
BP5486,29844,1449890570179,8,35000
10914,3805,1449890570185,8,35000
14242,20668,1449890585186,8,20000
4759,7964,1449890575194,8,30000
2271,BP3203,1449890580169,8,30000
BP3912,377,1449890540170,8,70000
675,660,1449890510164,8,100012
BP3912,377,1449890555178,8,55000
1578,14511,1449890530180,8,80000
BP2778,BP1795,1449890575180,8,35000
1287,751,1449890570181,8,40000
195,192,1449890525187,8,85000
BP1795,10866,1449890525192,8,84999
1488,BP1795,1449890610191,8,0
29684,37643,1449890515194,8,95000
8348,660,1449890520171,8,95000
320,782,1449890510159,8,105013
BP5486,BP5485,1449890600174,8,15000
29844,BP5486,1449890615174,8,0
1283,80011,1449890590180,8,25000
10885,10889,1449890590193,8,25003
901,2058,1449890565194,8,50004
2648,1114,1449890565189,8,55000
2045,943,1449890570190,8,50000
8586,1157,1449890555194,8,65001
BP5972,BP3912,1449890570177,8,55000
947,7725,1449890545185,8,80000
2019,8571,1449890605173,8,25000
4896,1578,1449890610180,8,20000
976,165,1449890525190,8,104999
1692,1283,1449890590192,8,40000
9991,4839,1449890535193,8,95000
BP5529,2271,1449890610169,8,25000
976,165,1449890520171,8,115001
9986,375,1449890575177,8,60000
4643,14528,1449890560180,8,74999
29684,7851,1449890510172,8,125011
20997,1114,1449890575184,8,60000
3487,10914,1449890605185,8,30000
35484,8578,1449890575193,8,60000
14527,4644,1449890600175,8,40000
14535,14535,1449890610182,8,30000
37219,BP3460,1449890545189,8,95000
1283,80011,1449890585184,8,60000
BP5972,BP3912,1449890610170,8,40000
35678,10926,1449890535173,8,114999
29684,7851,1449890550190,8,100000
20628,1472,1449890595173,8,59999
804,9986,1449890635177,8,19999
14240,195,1449890610187,8,45000
