t_hour,line,sequence,direction,timetaken
11,38,25,2,5001
11,29,38,2,5004
11,29,19,2,29994
11,29,32,1,34995
11,29,16,1,39998
11,29,15,2,39995
11,25,42,1,44995
11,29,4,1,44994
11,38,26,1,49995
11,38,22,2,49995
11,29,32,1,49993
11,38,24,2,54995
11,29,36,2,59994
11,29,37,2,64999
11,29,16,2,25001
11,38,26,2,64996
11,29,26,2,69995
11,38,16,1,74999
11,29,16,1,75000
11,38,12,2,74996
11,38,11,2,79995
11,38,5,1,79994
11,29,12,2,79994
11,29,13,2,84993
11,38,12,2,89999
11,29,37,2,89999
11,29,16,1,89996
11,38,10,1,89995
11,38,14,1,89995
11,38,24,2,89995
11,38,17,2,95000
11,38,37,1,94997
11,38,2,1,94995
11,29,6,2,99994
11,38,19,1,104999
11,29,17,2,39999
11,38,13,2,104994
11,29,8,2,109999
11,29,39,2,109995
11,29,5,1,65000
11,38,28,2,109994
11,38,18,2,19999
11,29,13,1,114999
11,29,17,1,75001
11,29,33,1,80001
11,29,8,2,114995
11,38,33,1,75002
11,38,1,2,119999
11,38,14,1,119996
11,38,28,1,119996
11,25,43,1,75000
11,38,23,2,75000
11,29,33,1,75000
11,38,4,2,129998
11,29,8,1,129995
11,29,37,2,70000
11,38,36,1,134996
11,38,22,1,134996
11,38,7,2,134995
11,29,30,2,134994
11,29,8,1,139998
11,38,29,1,139995
11,29,31,1,139994
11,38,26,1,149995
11,29,17,1,79999
11,29,38,2,89999
11,29,28,1,154995
11,38,15,1,65000
11,29,18,2,55000
11,38,27,2,94999
11,38,12,2,80000
11,29,6,1,50000
11,38,17,1,90001
11,29,18,1,50000
11,38,8,1,164994
11,29,13,2,85000
11,38,38,1,74999
11,38,15,1,49999
11,38,14,2,70000
11,38,6,1,95000
11,29,18,1,25001
11,29,41,1,90001
11,38,13,2,105000
11,38,25,2,125000
11,38,20,1,80000
11,38,21,2,184995
11,29,20,2,155001
11,38,19,2,75000
11,38,11,2,65001
11,38,27,1,194994
11,38,8,2,194994
11,29,6,2,144999
11,29,34,1,89999
11,38,3,1,109998
11,38,2,2,90000
11,38,26,2,209998
11,38,27,1,160000
11,38,15,2,35000
11,29,9,2,105000
11,29,19,2,55000
11,38,24,2,90000
11,38,9,1,50000
11,29,32,1,75000
11,29,14,1,105000
11,38,23,1,85000
11,29,38,2,135000
11,29,7,2,125000
11,38,13,1,139999
11,29,29,1,79999
11,38,25,2,144999
11,29,38,2,105000
11,29,7,1,75000
11,29,3,2,239999
11,38,13,2,155000
11,29,17,1,155000
11,38,28,2,85001
11,29,34,1,120001
11,29,10,2,35000
11,29,9,1,110000
11,29,9,1,120001
11,29,19,1,74999
11,29,42,1,74999
11,29,39,2,100000
11,38,12,1,254998
11,38,39,1,85000
11,38,29,1,134999
11,29,21,2,70000
11,29,31,2,120004
11,38,8,2,254999
11,38,11,2,145004
11,38,14,2,80004
11,38,7,1,85005
11,38,37,1,130000
11,29,3,2,264995
11,38,1,1,264995
11,38,26,2,85000
11,29,19,1,104999
11,38,5,2,140000
11,38,22,2,85000
11,38,16,1,114999
11,29,3,1,269993
11,38,4,1,65000
11,29,27,2,204999
11,29,14,2,190001
11,38,16,1,110000
11,38,29,2,170000
11,29,20,2,70000
11,38,16,2,75000
11,38,12,2,95000
11,38,20,2,100000
11,38,21,1,105000
11,29,35,1,85001
11,29,6,2,125000
11,38,10,1,75001
11,29,18,1,50001
11,38,24,1,75000
11,38,11,1,205001
11,38,14,2,55000
11,38,15,2,39996
11,29,1,2,299994
11,29,33,1,85000
11,38,1,1,304996
11,38,27,1,155001
11,38,26,2,70001
11,38,34,1,189999
11,25,36,1,304994
11,38,18,1,150000
11,29,20,1,60001
11,29,10,1,65001
11,38,8,2,180000
11,38,29,2,74999
11,29,22,2,65000
11,29,35,1,75000
11,29,39,2,85000
11,29,32,2,64996
11,38,15,2,25000
11,29,11,2,75000
11,29,39,2,100000
11,29,8,2,100000
11,38,30,2,45000
11,29,20,1,60000
11,29,21,2,45001
11,38,28,1,120001
11,29,9,2,215000
11,29,14,2,165000
11,38,33,1,154999
11,38,23,2,65000
11,29,36,1,44999
11,38,28,1,140000
11,38,17,2,50000
11,38,3,2,130000
11,29,15,1,125000
11,38,38,1,80002
11,29,8,1,110002
11,38,16,2,49999
11,29,40,2,239999
11,29,10,2,19999
11,38,13,2,189999
11,38,19,1,44999
11,38,12,2,99995
11,29,11,1,44999
11,38,27,2,150000
11,38,27,2,94999
11,29,23,2,39999
11,29,33,2,39999
11,29,21,1,49999
11,38,1,2,95000
11,38,6,2,95000
11,38,25,1,69999
11,29,10,1,114999
11,38,17,1,95001
11,38,18,2,30000
11,29,19,1,74999
11,29,22,2,39999
11,38,12,1,74999
11,29,28,2,95000
11,38,17,1,95001
11,29,16,1,35001
11,38,30,2,60001
11,38,39,1,34998
11,29,15,2,105000
11,29,23,2,15000
11,38,24,2,50000
11,29,11,1,20000
11,29,30,1,150000
11,29,21,1,60000
11,38,33,1,245000
11,29,12,2,75000
11,38,25,2,185001
11,29,4,1,130001
11,29,6,2,50000
11,38,2,2,45000
11,29,34,2,50003
11,38,13,1,160000
11,38,40,1,165001
11,29,20,1,50001
11,29,17,1,44999
11,38,28,2,65000
11,29,37,1,90000
11,38,28,1,119999
11,29,7,2,134999
11,38,28,2,65001
11,29,24,2,65001
11,38,8,1,164995
11,38,13,2,140000
11,29,40,2,175001
11,29,24,2,45001
11,29,11,2,80001
11,38,26,1,70000
11,29,36,1,114999
11,38,21,2,150000
11,38,16,2,115000
11,38,17,2,90000
11,38,26,2,40000
11,38,14,2,90001
11,38,19,2,75000
11,29,9,1,94998
11,29,22,1,80001
11,29,1,1,145000
11,38,11,1,154999
11,29,1,2,450006
11,38,35,1,145007
11,38,9,1,25007
11,38,20,1,95000
11,29,18,1,30000
11,38,22,1,165000
11,29,5,1,55000
11,38,29,1,120000
11,38,29,1,129999
11,38,27,2,155000
11,29,16,2,80000
11,29,15,2,130000
11,29,2,1,310000
11,29,35,2,59997
11,38,31,2,145000
11,29,34,1,170000
11,29,13,2,75000
11,38,15,2,34999
11,29,2,2,175000
11,38,13,1,110000
11,29,6,2,479995
11,29,12,2,50000
11,29,25,2,55000
11,29,37,1,45001
11,29,6,1,30000
11,38,17,2,50001
11,38,41,1,70000
11,29,21,1,70000
11,38,34,1,155001
11,38,18,2,50001
11,29,31,1,105001
11,29,23,1,50000
11,29,12,1,135001
11,29,25,2,65000
11,38,12,1,50000
11,38,32,2,25000
11,38,7,2,135000
11,29,12,1,115000
11,29,8,2,75000
11,29,17,2,39999
11,29,40,2,180001
11,38,18,1,140000
11,38,5,1,235002
11,29,40,2,185001
11,38,40,1,129999
11,29,10,1,70000
11,29,9,2,185000
11,38,18,2,24999
11,38,29,2,90000
11,38,3,2,110000
11,38,14,1,105000
11,38,36,1,69993
11,38,4,2,185001
11,38,28,2,65000
11,29,16,2,65000
11,38,13,2,170001
11,38,31,2,150000
11,29,19,1,80000
11,29,26,2,39999
11,29,22,1,150000
11,38,29,1,115000
11,29,32,1,49999
11,38,10,1,89993
11,29,17,2,15000
11,38,27,1,110000
11,29,13,2,64999
11,29,7,1,60000
11,38,22,2,110000
11,38,8,1,549995
11,38,25,2,165000
11,29,18,2,50001
11,29,10,2,40000
11,38,19,2,40000
11,38,29,2,130000
11,29,26,2,75000
11,38,19,1,50000
11,29,36,2,85001
11,38,33,2,60007
11,38,18,1,184999
11,29,29,2,190001
11,38,20,2,120000
11,38,14,2,140003
11,38,16,2,95001
11,29,18,2,30000
11,29,20,1,40000
11,29,22,1,84999
11,38,19,2,84999
11,38,27,2,134999
11,29,35,1,105000
11,38,1,2,350001
11,29,9,2,80001
11,29,7,2,175000
11,25,56,1,579995
11,29,11,1,70000
11,38,34,2,24993
11,38,21,1,130000
11,29,23,1,45000
11,38,30,2,70000
11,38,15,1,65000
11,38,32,2,54999
11,29,13,1,94999
11,38,30,2,35000
11,29,13,1,95000
11,29,41,2,245000
11,29,19,2,44999
11,38,14,1,120001
11,38,17,2,30000
11,38,34,1,205000
11,38,35,1,115000
11,38,37,1,85000
11,29,24,1,114999
11,29,23,1,35000
11,38,33,2,30000
11,38,26,2,65000
11,29,33,1,75001
11,38,18,2,15000
11,38,6,1,109999
11,38,20,1,64999
11,38,15,2,54997
11,38,35,2,40000
11,38,28,1,80005
11,29,37,2,70004
11,38,19,1,70000
11,38,28,2,55001
11,38,13,1,135000
11,38,23,2,85000
11,38,31,2,50001
11,38,9,1,85001
11,38,25,1,90000
11,38,34,2,25001
11,38,31,2,50000
11,29,11,2,90000
11,29,8,1,99999
11,29,3,1,185000
11,38,29,2,124999
11,29,36,1,79999
11,29,14,2,185000
11,38,14,2,129999
11,29,14,1,70000
11,29,27,2,125000
11,29,27,2,104999
11,29,20,2,65000
11,29,2,1,215000
11,38,32,2,29999
11,38,8,2,165000
11,29,14,1,70000
11,29,8,2,85000
11,38,20,2,115000
11,29,21,1,95000
11,38,4,2,150000
11,38,20,1,40001
11,29,30,2,110000
11,38,36,2,50000
11,29,25,1,65000
11,38,2,2,94999
11,29,10,2,94999
11,29,14,2,130000
11,38,15,1,80000
11,38,19,2,69999
11,38,15,2,30000
11,29,24,1,105000
11,38,36,1,84999
11,38,38,1,85000
11,38,24,2,60000
11,38,32,2,55000
11,38,35,1,95000
11,38,26,1,60001
11,38,10,1,65000
11,29,28,2,45001
11,38,20,2,130001
11,38,29,2,75000
11,29,9,1,60001
11,38,21,2,145000
11,29,38,2,79996
11,38,22,1,125000
11,38,5,2,184999
11,29,41,2,279999
11,29,24,1,100000
11,38,7,1,95000
11,29,41,2,204999
11,38,33,2,50000
11,29,12,1,135000
11,38,30,2,70001
11,38,14,1,90000
11,38,16,2,100000
11,29,26,1,50000
11,38,16,1,140000
11,29,21,2,70001
11,38,11,1,190000
11,29,12,2,90000
11,29,21,2,65000
11,38,29,1,109996
11,29,15,2,80000
11,38,16,2,50000
11,29,25,1,50000
11,38,31,1,499999
11,29,34,1,124999
11,38,33,2,44999
11,38,27,2,130001
11,29,9,2,80000
11,38,2,1,480000
11,38,21,1,125001
11,29,11,2,75000
11,29,22,1,85000
11,29,25,1,50000
11,29,28,2,100000
11,38,22,2,54999
11,38,30,2,69999
11,29,4,1,120003
11,38,37,1,80003
11,29,7,2,290003
11,38,36,1,75002
11,29,37,1,115003
11,29,15,2,100001
11,38,34,2,35001
11,38,39,1,85000
11,38,17,2,55000
11,38,17,2,40000
11,29,22,2,50000
11,29,15,1,125001
11,38,21,1,119999
11,29,29,2,89999
11,38,31,1,460000
11,29,10,1,90000
11,29,22,2,65000
11,38,37,2,125000
11,38,23,1,90000
11,29,39,2,95000
11,38,18,2,25000
11,38,30,2,100000
11,38,23,2,45001
11,38,18,2,30000
11,29,13,2,75000
11,29,23,1,55001
11,29,27,1,85001
11,29,15,1,145001
11,29,26,1,55001
11,38,1,1,814996
11,29,10,2,70000
11,29,23,2,35000
11,38,21,2,150000
11,29,16,2,80000
11,38,5,2,150000
11,29,26,1,80000
11,29,16,2,50000
11,29,11,1,30000
11,38,16,1,149999
11,29,8,2,59997
11,29,23,2,34999
11,29,41,2,329999
11,29,12,2,85000
11,29,29,2,75000
11,38,20,2,150000
11,38,12,1,105000
11,38,6,2,130000
11,38,3,2,165000
11,38,28,2,95000
11,38,21,2,135000
11,29,31,2,170000
11,38,24,2,35000
11,38,37,1,69998
11,38,19,2,35000
11,38,38,1,74997
11,38,35,2,69999
11,38,27,1,149999
11,29,16,1,64999
11,29,35,1,115001
11,38,22,1,110000
11,38,31,2,90001
11,29,24,2,40000
11,38,25,2,165000
11,38,22,2,40000
11,29,17,2,35037
11,38,31,2,140038
11,38,24,1,65000
11,29,27,1,49999
11,38,2,1,559999
11,29,3,1,205000
11,29,24,2,35001
11,29,17,2,50000
11,29,6,2,84999
11,29,40,1,45000
11,29,16,1,60000
11,29,13,1,155000
11,38,17,1,150001
11,29,9,2,45001
11,38,8,1,165000
11,29,5,1,109998
11,29,7,2,675001
11,38,22,2,40000
11,38,22,2,10000
11,29,24,1,74999
11,38,11,1,184999
11,29,27,1,70000
11,38,23,2,9999
11,29,13,2,55001
11,29,11,2,75000
11,38,15,1,170000
11,29,3,2,415000
11,29,18,2,25000
11,38,19,2,90000
11,38,9,1,20004
11,38,38,1,55004
11,38,24,2,10001
11,25,47,1,125000
11,25,47,1,25000
11,38,31,1,380000
11,38,31,2,100000
11,29,36,1,50000
11,29,18,2,44963
11,29,25,2,50000
11,38,28,1,60000
11,38,1,2,265000
11,38,39,1,65000
11,38,32,2,55000
11,38,23,2,55000
11,38,8,1,914997
11,29,30,2,120001
11,29,40,1,85001
11,38,40,1,140000
11,29,17,1,70001
11,38,23,1,65001
11,38,32,2,59963
11,38,36,2,80000
11,29,25,2,60000
11,29,19,2,35000
11,29,25,1,45000
11,38,6,2,110000
11,29,8,2,54999
11,29,41,1,64999
11,29,19,2,29999
11,29,32,2,94999
11,25,48,1,34999
11,38,38,2,140000
11,29,42,2,345001
11,38,22,1,155000
11,38,20,2,105000
11,38,26,2,90000
11,29,6,1,69999
11,29,17,1,79999
11,29,14,2,145000
11,38,2,2,45000
11,29,10,2,79999
11,25,4,2,9999
11,38,33,2,50000
11,38,10,1,64996
11,38,25,2,120000
11,29,28,1,155000
11,29,18,1,45000
11,29,9,2,30001
11,38,32,2,60000
11,38,39,2,30000
11,29,12,2,80000
11,29,30,2,135001
11,38,39,1,74996
11,38,24,2,60001
11,29,26,2,70003
11,38,11,2,100003
11,38,25,1,115000
11,38,12,1,95001
11,38,29,2,140000
11,38,33,2,59999
11,38,13,1,145000
11,29,42,2,275000
11,29,18,1,35001
11,29,14,1,115000
11,38,41,1,70000
11,38,11,2,85000
11,38,7,2,150001
11,29,26,1,60001
11,38,21,2,155001
11,38,24,1,69999
11,29,41,1,75000
11,29,26,2,65000
11,38,2,1,150000
11,29,4,1,130000
11,38,23,1,55000
11,38,17,1,170001
11,38,33,2,35000
11,29,37,1,95000
11,29,20,2,65001
11,29,33,2,65001
11,29,28,1,115000
11,29,2,2,554992
11,25,33,2,135000
11,38,33,1,109996
11,38,3,1,140001
11,29,20,2,85000
11,29,42,1,80001
11,38,34,2,55000
11,38,16,1,125000
11,29,31,2,105000
