sentiment	text
1	i love kirsten / leah / kate escapades and mission impossible tom as well...
1	the people who are worth it know how much i love the da vinci code.
0	the da vinci code sucks btw..
1	He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..
1	Love luv lubb the Da Vinci Code!
1	I love Harry Potter.
1	Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.
1	I love Harry Potter.
0	Brokeback Mountain is fucking horrible..
0	I hate Harry Potter.
0	da vinci code sucks...
1	da vinci code was an awesome movie...
0	Always knows what I want, not guy crazy, hates Harry Potter..
1	So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.
0	Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.
1	I actually loved Brokeback Mountain..
0	Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...
1	Anyway, we both love Harry Potter, books, Pirates of the Caribbean, taking pictures, and writing and we have the same sarcastic and quirky sense of humor.
0	I heard The da Vinci Code sucked.
0	So Brokeback Mountain was really depressing.
0	friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!
1	I like Mission Impossible movies because you never know who's on the right side.
1	the last stand and Mission Impossible 3 both were awesome movies.
1	I loved the first Mission Impossible.
1	I'm not a big TC fan either but I like Mission Impossible.
0	Brokeback Mountain was boring.
1	I loved Mission Impossible-3..
0	These Harry Potter movies really suck.
0	, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..
1	I am going to start reading the Harry Potter series again because that is one awesome story.
1	I, too, like Harry Potter..
0	Brokeback Mountain, Larry McMurtry & Diana Ossana-the book sucked, movie was way better, they had a lot of work to do..
0	This quiz sucks and Harry Potter sucks ok bye..
1	I love Brokeback Mountain.
0	I forgot how much I hated Da Vinci Code.
0	Brokeback Mountain was boring.
0	and i'm not even THINKING of getting in FRESHMAN cuz to me itz just mission impossible lol i simply suck too much altogether....
1	the last stand and Mission Impossible 3 both were awesome movies.
1	The Da Vinci Code is awesome!!
1	Mission Impossible 3 was excellent.
1	I loved the da vinci code....
1	I, too, like Harry Potter..
1	Anyway, thats why I love " Brokeback Mountain.
0	Brokeback Mountain is fucking horrible..
1	dudeee i LOVED brokeback mountain!!!!
0	This quiz sucks and Harry Potter sucks ok bye..
0	My dad's being stupid about brokeback mountain...
1	I liked the first " Mission Impossible.
1	The Da Vinci Code is awesome..
