VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/1/2016 0:09,1/1/2016 0:22,1,2.71,-73.95651245,40.81349182,1,N,-73.92424011,40.82751846,2,11.5,0.5,0.5,0,0,0.3,12.8
2,1/1/2016 0:22,1/1/2016 0:40,1,8.17,-73.98368835,40.69365311,1,N,-74.02516937,40.63069534,1,25,0.5,0.5,7.89,0,0.3,34.19
2,1/1/2016 0:24,1/1/2016 0:36,1,1.95,-73.97612,40.7889595,1,N,-73.95465851,40.77317047,2,10.5,0.5,0.5,0,0,0.3,11.8
1,1/1/2016 0:27,1/1/2016 0:40,3,2.4,-73.92015076,40.84613037,1,N,-73.92057037,40.86564255,2,10.5,0.5,0.5,0,0,0.3,11.8
2,1/1/2016 0:30,1/1/2016 0:35,4,1.24,-73.99030304,40.71903229,1,N,-73.98040771,40.73428345,1,6,0.5,0.5,1,0,0.3,8.3
2,1/1/2016 0:33,1/1/2016 0:37,5,0.69,-73.96193695,40.75952911,1,N,-73.96717834,40.75695038,1,5,0.5,0.5,1.89,0,0.3,8.19
2,1/1/2016 0:35,1/1/2016 0:37,3,0.38,-73.98281097,40.73523331,1,N,-73.98640442,40.7305069,1,3.5,0.5,0.5,5.5,0,0.3,10.3
1,1/1/2016 0:36,1/1/2016 0:53,1,3.5,-74.00769043,40.70471191,1,N,-73.96074677,40.69709015,1,15.5,0.5,0.5,3.35,0,0.3,20.15
1,1/1/2016 0:40,1/1/2016 0:48,1,1.7,-73.9881134,40.72299194,1,N,-74.00307465,40.7361908,1,8,0.5,0.5,1.85,0,0.3,11.15
2,1/1/2016 0:47,1/1/2016 1:23,1,6.11,-73.98986053,40.74504852,1,N,-73.93682098,40.71054077,1,26,0.5,0.5,3,0,0.3,30.3
1,1/1/2016 0:48,1/1/2016 1:02,2,1.2,-73.9792099,40.7616806,1,N,-73.98306274,40.75052261,1,9,0.5,0.5,1,0,0.3,11.3
2,1/1/2016 0:52,1/1/2016 1:17,1,11.26,-73.97705078,40.7557869,1,N,-73.83242798,40.76105499,2,33,0.5,0.5,0,0,0.3,34.3
2,1/1/2016 0:52,1/1/2016 1:19,1,5.3,-73.94879913,40.7818985,1,N,-74.00163269,40.72624207,1,20.5,0.5,0.5,4.36,0,0.3,26.16
2,1/1/2016 0:52,1/1/2016 1:07,5,2.38,-73.95226288,40.78414917,1,N,-73.98200226,40.77904129,1,12,0.5,0.5,2.66,0,0.3,15.96
2,1/1/2016 0:53,1/1/2016 1:44,2,11.2,-73.95275116,40.82349014,1,N,-73.86678314,40.75260162,2,40,0.5,0.5,0,0,0.3,41.3
2,1/1/2016 0:55,1/1/2016 1:21,1,7.24,-74.0036087,40.75086975,1,N,-73.94444275,40.83311081,1,26,0.5,0.5,6.82,0,0.3,34.12
1,1/1/2016 0:55,1/1/2016 1:01,1,1.1,-74.00173187,40.74032974,1,N,-73.99206543,40.75437546,2,6,0.5,0.5,0,0,0.3,7.3
1,1/1/2016 0:56,1/1/2016 1:02,1,0.7,-74.00302124,40.74408722,1,N,-73.99371338,40.7414093,2,5.5,0.5,0.5,0,0,0.3,6.8
2,1/1/2016 1:01,1/1/2016 1:49,1,12.62,-73.99398041,40.75263214,1,N,-74.04026794,40.62120056,1,42.5,0.5,0.5,9.87,5.54,0.3,59.21
1,1/1/2016 1:02,1/1/2016 1:13,1,1.8,-73.98147583,40.78029251,1,N,-73.96405029,40.76460266,1,9.5,0.5,0.5,2.15,0,0.3,12.95
2,1/1/2016 1:03,1/1/2016 1:13,6,0.99,-73.9960022,40.75379944,1,N,-73.98725891,40.75049973,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,1/1/2016 1:03,1/1/2016 1:11,4,1.1,-73.98883057,40.74117661,1,N,-74.00286865,40.74967575,2,7,0.5,0.5,0,0,0.3,8.3
1,1/1/2016 1:05,1/1/2016 1:21,3,5.8,-73.97711945,40.72637558,1,N,-73.93932343,40.79466629,2,19,0.5,0.5,0,0,0.3,20.3
2,1/1/2016 1:06,1/1/2016 1:17,2,1.16,-73.99817657,40.72956848,1,N,-73.98718262,40.72063065,1,8,0.5,0.5,2.32,0,0.3,11.62
1,1/1/2016 1:08,1/1/2016 1:19,4,1,-73.97951508,40.7551384,1,N,-73.97561646,40.74528885,1,8.5,0.5,0.5,1.95,0,0.3,11.75
2,1/1/2016 1:11,1/1/2016 1:20,1,1.92,-73.96096802,40.77487564,1,N,-73.98599243,40.7796669,2,9,0.5,0.5,0,0,0.3,10.3
2,1/1/2016 1:13,1/1/2016 1:13,5,0.07,-73.92308807,40.70154953,1,N,-73.92623901,40.70330811,2,2.5,0.5,0.5,0,0,0.3,3.8
1,1/1/2016 1:13,1/1/2016 1:38,2,7.1,-73.97363281,40.79220581,1,N,-73.98021698,40.72213745,1,24,0.5,0.5,5.05,0,0.3,30.35
