NomFAS,Risk,Situation,PreventiveMeasure
Asbestos,General risks,Completing the task,Comply with applicable safety measures
Asbestos,General risks,Completing the task,Train workers on the task and its risks
Asbestos,General risks,Completing the task,Wear the personal protective equipment required by the employer
Asbestos,General risks,Completing the task,Identify materials that may contain asbestos and record them in a register
Asbestos,General risks,Completing the task,Reserve high-risk work to qualified professionals
Asbestos,Inhalation of asbestos dust,Maintenance or demolition work,Apply the procedures in the presence of asbestos
Asbestos,Inhalation of asbestos dust,Maintenance or demolition work,Keep people away and seal the work area
Asbestos,Inhalation of asbestos dust,Maintenance or demolition work,"Wear appropriate protective clothing, including an approved disposable mask"
Asbestos,Inhalation of asbestos dust,Maintenance or demolition work,"Wet the material to reduce dust, avoiding contact with electricity"
Asbestos,Inhalation of asbestos dust,Maintenance or demolition work,Clean the work area using a wet cloth instead of a vacuum cleaner and seal the asbestos waste and cloth in a plastic bag
Asbestos,Inhalation of asbestos dust,Maintenance or demolition work,Dispose of asbestos waste in well-identified watertight containers
Backhoe,General risks,Completing the task,Wear the personal protective equipment required by the employer
Backhoe,Rollover,Moving the backhoe,Wear the seat belt before starting the vehicle
Backhoe,Being exposed to the elements,Completing the task,Wear clothing appropriate for the weather conditions
Backhoe,General risks,Completing the task,Attend MANDATORY training on the use of a backhoe
Backhoe,General risks,Completing the task,Carry out a pre-start inspection
Backhoe,Falling from a height,While getting on or off the vehicle,Use a three-point contact to climb into or get off the vehicle
Backhoe,Tripping,Movement of pedestrians,Wear non-slip shoes
Backhoe,Tripping,Movement of pedestrians,Park the tractor and excavator in a safe area
Backhoe,Tripping,Movement of pedestrians,"Check for the presence of liquids or ice that could cause a fall; use abrasives, if necessary."
Backhoe,Contact with an electrical source,Excavation works,Stay a safe distance from power lines
Backhoe,Contact with an electrical source,Excavation works,Ask for the help of a flagman
Backhoe,Contact with an electrical source,Excavation works,Contact Info-Excavation before starting any excavation work
Backhoe,Being struck by equipment or materials,Use of the backhoe,Make sure you have an effective means of communication
Backhoe,Being struck by equipment or materials,Use of the backhoe,Use signalling equipment when needed
Backhoe,Being struck by equipment or materials,Use of the backhoe,Make sure no one is inside the security perimeter
